State,Area,Site,Lat,Lon,Region,Domain
British Columbia,Central Kootenay,IdahoPk.,49.9738,-117.34437,PNWRAT,PNWRAT
British Columbia,Central Kootenay,SolMt.,50.44212,-118.17427,PNWRAT,PNWRAT
British Columbia,Central Kootenay,Valkyr,49.878,-117.96326,PNWRAT,PNWRAT
British Columbia,Central Kootenay,VMT,50.09004,-117.59223,PNWRAT,PNWRAT
British Columbia,Central Okanagan,Blue_Grouse,49.94923,-119.50155,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Blanket,50.8049,-118.22628,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Bolean,50.4834,-119.52919,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Fly_Hills,50.6647,-119.39203,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Golden,51.25687,-116.916,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Revelstoke,50.95929,-118.14663,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,SaleMt.,51.17122,-118.21238,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Sicamous,50.84378,-118.97936,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,Stoney_Creek,50.56198,-119.33985,PNWRAT,PNWRAT
British Columbia,Columbia-Shuswap,ValleyGap,50.9184,-118.48171,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Breakenridge,49.69206,-121.94017,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Bridal,49.171,-121.748,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Cloudraker,50.08578,-122.50786,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Coquihalla,49.60626,-121.08719,PNWRAT,PNWRAT
British Columbia,Fraser Valley,DeRoche,49.204,-122.112,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Elk,49.12,-121.76,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Golden_Ears,49.3532,-122.51627,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Hemlock,49.3717,-121.92884,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Hope,49.37184,-121.50205,PNWRAT,PNWRAT
British Columbia,Fraser Valley,HorseFly,49.281,-121.9875,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Little_Nick,49.188,-122.145,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,ManningPark,49.06369,-120.90952,PNWRAT,PNWRAT
British Columbia,Fraser Valley,MtStBenedict,49.292,-122.176,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Pattison,49.17396,-122.17672,PNWRAT,PNWRAT
British Columbia,Fraser Valley,Ranch,49.2344,-121.928,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,RUCcompare,49.14,-121.99,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,SumasCa,49.121,-122.126,PNW,FRASER-WINDOW
British Columbia,Fraser Valley,Woodside,49.247,-121.89,PNW,FRASER-WINDOW
British Columbia,Greater Vancouver,BurnabyMtn,49.28532,-122.92831,PNWRAT,PNWRAT
British Columbia,Greater Vancouver,Cypress,49.35968,-123.2127,PNWRAT,PNWRAT
British Columbia,Greater Vancouver,Diefenbaker,49.01346,-123.05166,PNWRAT,PNWRAT
British Columbia,Greater Vancouver,Grouse,49.386016,-123.076851,PNW,PNW
British Columbia,Greater Vancouver,GrouseLZ,49.3592,-123.103,PNW,PNW
British Columbia,Greater Vancouver,KitsBeach,49.28096,-123.15871,PNWRAT,PNWRAT
British Columbia,Greater Vancouver,Seymour,49.3438,-122.97581,PNWRAT,PNWRAT
British Columbia,Greater Vancouver,Stevston,49.12714,-123.1818,PNWRAT,PNWRAT
British Columbia,North Okanagan,Camel_Hump,50.23035,-118.84709,PNWRAT,PNWRAT
British Columbia,North Okanagan,Coopers,50.28682,-118.95739,PNWRAT,PNWRAT
British Columbia,North Okanagan,King_Eddy,50.20838,-119.17849,PNWRAT,PNWRAT
British Columbia,North Okanagan,Mara_Lake,50.71124,-119.02725,PNWRAT,PNWRAT
British Columbia,North Okanagan,Shuswap_Falls,50.29592,-118.82435,PNWRAT,PNWRAT
British Columbia,North Okanagan,VernonMt,50.25017,-119.1857,PNWRAT,PNWRAT
British Columbia,Okanagan-Similkameen,Anarchist,49.03936,-119.39771,PNW,PNW
British Columbia,Okanagan-Similkameen,Cawston,49.18437,-119.68943,PNW,PNW
British Columbia,Okanagan-Similkameen,Hedley,49.3527,-120.0371,PNW,PNW
British Columbia,Okanagan-Similkameen,Ripley,49.2463,-119.62442,PNW,PNW
British Columbia,Squamish-Lillooet,Birkenhead,50.48526,-122.61292,PNWRAT,PNWRAT
